location,district,rooms,size,level,max_levels,price,psp
"город Ташкент, Юнусабадский район, Юнусабад 8-й квартал",Yunusobod,3,57.0,4,4,52000.0,912.280701754386
"город Ташкент, Яккасарайский район, 1-й тупик Шота Руставели",Yakkasaroy,2,52.0,4,5,56000.0,1076.923076923077
"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Chilonzor,2,42.0,4,4,37000.0,880.952380952381
"город Ташкент, Чиланзарский район, Чиланзар 9-й квартал",Chilonzor,3,65.0,1,4,49500.0,761.5384615384615
"город Ташкент, Чиланзарский район, площадь Актепа",Chilonzor,3,70.0,3,5,55000.0,785.7142857142857
"город Ташкент, Чиланзарский район, Чиланзар 6-й квартал",Chilonzor,1,28.0,1,4,25500.0,910.7142857142857
"город Ташкент, Чиланзарский район, Чиланзар-16",Chilonzor,1,30.0,2,4,21200.0,706.6666666666666
"город Ташкент, Яккасарайский район, Саламатина",Yakkasaroy,2,32.0,5,5,20000.0,625.0
"город Ташкент, Учтепинский район, Чиланзар-21",Uchtepa,2,51.0,3,4,26200.0,513.7254901960785
"город Ташкент, Чиланзарский район, Чиланзар-8",Chilonzor,1,30.0,1,4,22200.0,740.0
"город Ташкент, Учтепинский район, Чиланзар-14",Uchtepa,2,30.0,2,5,24200.0,806.6666666666666
"город Ташкент, Чиланзарский район, Чиланзар-20",Chilonzor,3,67.0,2,5,30200.0,450.74626865671644
"город Ташкент, Чиланзарский район, Чиланзар-17",Chilonzor,1,30.0,2,4,21200.0,706.6666666666666
"город Ташкент, Чиланзарский район, Чиланзар-16",Chilonzor,1,30.0,2,4,21200.0,706.6666666666666
"город Ташкент, Чиланзарский район, Чиланзар-19",Chilonzor,1,30.0,2,4,21200.0,706.6666666666666
"город Ташкент, Чиланзарский район, Чиланзар-19",Chilonzor,1,35.0,1,5,22500.0,642.8571428571429
"город Ташкент, Чиланзарский район, Г9а",Chilonzor,1,43.0,4,4,22500.0,523.2558139534884
"город Ташкент, Чиланзарский район, Чиланзар-7",Chilonzor,2,51.0,2,4,21200.0,415.6862745098039
"город Ташкент, Мирзо-Улугбекский район, Феруза",Mirzo-Ulugʻbek,3,65.0,1,4,32500.0,500.0
"город Ташкент, Чиланзарский район, Чиланзар-17",Chilonzor,2,51.0,2,4,22200.0,435.29411764705884
"город Ташкент, Чиланзарский район, Чиланзар-9",Chilonzor,2,51.0,2,4,24200.0,474.5098039215686
"город Ташкент, Яккасарайский район, Кушбеги",Yakkasaroy,4,90.0,5,5,45000.0,500.0
"город Ташкент, Чиланзарский район, 1-й проезд Заргарлик",Chilonzor,4,80.0,3,4,56000.0,700.0
"город Ташкент, Яшнободский район, Садыка Азимова (Жуковского) ",Yashnobod,2,70.0,5,5,47000.0,671.4285714285714
"город Ташкент, Мирзо-Улугбекский район, ТТЗ-4",Mirzo-Ulugʻbek,3,69.0,1,4,49900.0,723.1884057971015
"город Ташкент, Мирабадский район, Афросиёб",Mirabad,3,80.0,2,4,76000.0,950.0
"город Ташкент, Учтепинский район, Чиланзар 13-й квартал махалля Кухна-Чупонота",Uchtepa,3,96.0,3,4,65000.0,677.0833333333334
"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Uchtepa,4,76.0,4,4,47500.0,625.0
"город Ташкент, Учтепинский район, Чиланзар 13-й квартал",Uchtepa,2,45.0,4,5,30000.0,666.6666666666666
"город Ташкент, Чиланзарский район, Чиланзар 5-й квартал",Chilonzor,1,27.0,3,4,32000.0,1185.1851851851852
"город Ташкент, Учтепинский район, Чиланзар 30-й квартал",Uchtepa,2,65.0,3,9,44000.0,676.9230769230769
"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Chilonzor,2,64.0,3,4,56500.0,882.8125
"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Chilonzor,1,42.0,5,9,35000.0,833.3333333333334
"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Chilonzor,1,26.0,2,4,23500.0,903.8461538461538
"город Ташкент, Учтепинский район, Чиланзар 26-й квартал",Uchtepa,4,76.0,5,5,60500.0,796.0526315789474
"город Ташкент, Чиланзарский район, Чиланзар квартал 20Д",Chilonzor,3,80.0,2,4,68000.0,850.0
"город Ташкент, Чиланзарский район, 1-й проезд Лутфи",Chilonzor,3,72.0,5,5,41500.0,576.3888888888889
"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Uchtepa,4,100.0,3,12,55000.0,550.0
"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Uchtepa,3,65.0,4,4,44000.0,676.9230769230769
"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Uchtepa,4,80.0,3,4,52500.0,656.25
"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Uchtepa,3,72.0,6,9,43000.0,597.2222222222222
"город Ташкент, Мирабадский район, Тараса Шевченко",Mirabad,2,65.0,1,4,80000.0,1230.7692307692307
"город Ташкент, Яккасарайский район, Кушбеги",Yakkasaroy,2,63.0,1,5,42000.0,666.6666666666666
"город Ташкент, Яккасарайский район, Кушбеги",Yakkasaroy,2,48.0,5,9,23000.0,479.1666666666667
"город Ташкент, Юнусабадский район, Юнусабад 18-й квартал",Yunusobod,3,70.0,3,4,47000.0,671.4285714285714
"город Ташкент, Яккасарайский район, Бабура",Yakkasaroy,3,102.0,7,12,88784.0,870.4313725490196
"город Ташкент, Учтепинский район, Гулистон",Uchtepa,4,78.0,2,4,65000.0,833.3333333333334
"город Ташкент, Чиланзарский район, Чиланзар квартал И",Chilonzor,4,100.0,1,4,97000.0,970.0
"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",Chilonzor,1,34.0,1,4,28500.0,838.2352941176471
"город Ташкент, Чиланзарский район, Чиланзар 10-й квартал",Chilonzor,2,42.0,2,4,34500.0,821.4285714285714
"город Ташкент, Учтепинский район, Чиланзар 15-й квартал",Uchtepa,4,80.0,4,5,51000.0,637.5
"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Uchtepa,3,90.0,1,12,51000.0,566.6666666666666
"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Chilonzor,2,45.0,2,4,48000.0,1066.6666666666667
"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Chilonzor,3,70.0,5,5,40000.0,571.4285714285714
"город Ташкент, Чиланзарский район, Чиланзар квартал Ц",Chilonzor,4,96.0,7,9,67000.0,697.9166666666666
"город Ташкент, Учтепинский район, Чиланзар 25-й квартал",Uchtepa,4,80.0,4,5,68000.0,850.0
"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Uchtepa,2,63.0,1,4,40500.0,642.8571428571429
"город Ташкент, Учтепинский район, Чиланзар 23-й квартал",Uchtepa,2,56.0,4,5,54000.0,964.2857142857143
"город Ташкент, Учтепинский район, Чиланзар 22-й квартал",Uchtepa,2,52.0,1,4,36000.0,692.3076923076923
"город Ташкент, Учтепинский район, Чиланзар 12-й квартал",Uchtepa,3,98.0,2,4,68000.0,693.8775510204082
"город Ташкент, Чиланзарский район, Бешёгоч",Chilonzor,3,96.0,9,9,63000.0,656.25
"город Ташкент, Шайхантахурский район, Актепа",Shayxontohur,4,93.0,4,4,63500.0,682.7956989247311
"город Ташкент, Шайхантахурский район, Международный деловой центр Tashkent City",Shayxontohur,2,60.0,9,9,49500.0,825.0
"город Ташкент, Чиланзарский район, Чиланзарский район массив Аль-Хорезми-2",Chilonzor,5,82.0,4,4,70000.0,853.6585365853658
"город Ташкент, Учтепинский район, Чиланзар 23-й квартал",Uchtepa,5,120.0,9,9,52000.0,433.3333333333333
"город Ташкент, Учтепинский район, Чиланзар 15-й квартал",Uchtepa,4,110.0,3,3,91000.0,827.2727272727273
"город Ташкент, Чиланзарский район, Чиланзар 1-й квартал",Chilonzor,4,95.0,2,4,83000.0,873.6842105263158
"город Ташкент, Учтепинский район, 4-й проезд Курувчи",Uchtepa,2,56.0,1,4,40500.0,723.2142857142857
"город Ташкент, Чиланзарский район, Мукими",Chilonzor,3,68.0,3,4,48000.0,705.8823529411765
"город Ташкент, Олмазорский район, Себзар",Olmazor,2,57.0,3,4,42000.0,736.8421052631579
"город Ташкент, Яшнободский район, Жаркургон",Yashnobod,1,46.0,11,11,19765.0,429.67391304347825
"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Chilonzor,2,45.0,4,4,34500.0,766.6666666666666
"город Ташкент, Юнусабадский район, Юнусабад 10-й квартал",Yunusobod,2,40.0,1,9,40000.0,1000.0
